student_id,file,exists,rows,columns,unique_dates,missing_value_cells,total_value_cells,missing_value_percent,min_date,max_date
20,daily_questions.csv,1,100,"timeStampScheduled, timeStampSent, timeStampStart, timeStampStop, originalTimeStampSent, timeZoneOffset, deltaUTC, stress, anxiety",100,0,200,0.0,2025-02-19,2025-06-20
20,sleep.csv,1,69,"timestamp, overall_score, deep_sleep_in_minutes",66,0,138,0.0,2025-02-18,2025-06-07
20,activity_level.csv,1,83082,"timestamp, level",112,0,83082,0.0,2025-02-18,2025-06-09
20,steps.csv,1,24425,"timestamp, steps",112,0,24425,0.0,2025-02-18,2025-06-09
20,hrv.csv,1,5398,"timestamp, rmssd, coverage, low_frequency, high_frequency",72,0,21592,0.0,2025-02-18,2025-06-07
20,oxygen.csv,1,35145,"timestamp, value",94,0,35145,0.0,2025-02-18,2025-06-08
20,stress.csv,1,70,"DATE, UPDATED_AT, STRESS_SCORE, CALCULATION_FAILED",70,0,140,0.0,2025-02-18,2025-06-08
21,daily_questions.csv,1,59,"timeStampScheduled, timeStampSent, timeStampStart, timeStampStop, originalTimeStampSent, timeZoneOffset, deltaUTC, stress, anxiety",59,0,118,0.0,2025-03-13,2025-06-30
21,sleep.csv,1,32,"timestamp, overall_score, deep_sleep_in_minutes",32,0,64,0.0,2025-03-14,2025-06-28
21,activity_level.csv,1,42105,"timestamp, level",68,0,42105,0.0,2025-03-13,2025-07-01
21,steps.csv,1,13981,"timestamp, steps",67,0,13981,0.0,2025-03-13,2025-07-01
21,hrv.csv,1,2131,"timestamp, rmssd, coverage, low_frequency, high_frequency",32,0,8524,0.0,2025-03-14,2025-06-28
21,oxygen.csv,1,17191,"timestamp, value",56,0,17191,0.0,2025-03-15,2025-06-30
21,stress.csv,1,32,"DATE, UPDATED_AT, STRESS_SCORE, CALCULATION_FAILED",32,0,64,0.0,2025-03-14,2025-06-28
22,daily_questions.csv,1,117,"timeStampScheduled, timeStampSent, timeStampStart, timeStampStop, originalTimeStampSent, timeZoneOffset, deltaUTC, stress, anxiety",117,0,234,0.0,2025-03-05,2025-07-09
22,sleep.csv,1,49,"timestamp, overall_score, deep_sleep_in_minutes",48,0,98,0.0,2025-03-16,2025-06-30
22,activity_level.csv,1,68352,"timestamp, level",98,0,68352,0.0,2025-03-15,2025-06-30
22,steps.csv,1,26500,"timestamp, steps",97,0,26500,0.0,2025-03-15,2025-06-30
22,hrv.csv,1,3724,"timestamp, rmssd, coverage, low_frequency, high_frequency",58,0,14896,0.0,2025-03-15,2025-06-29
22,oxygen.csv,1,34796,"timestamp, value",83,0,34796,0.0,2025-03-15,2025-06-30
22,stress.csv,1,56,"DATE, UPDATED_AT, STRESS_SCORE, CALCULATION_FAILED",56,0,112,0.0,2025-03-15,2025-06-30
23,daily_questions.csv,1,76,"timeStampScheduled, timeStampSent, timeStampStart, timeStampStop, originalTimeStampSent, timeZoneOffset, deltaUTC, stress, anxiety",76,0,152,0.0,2025-03-09,2025-06-30
23,sleep.csv,1,43,"timestamp, overall_score, deep_sleep_in_minutes",42,0,86,0.0,2025-05-16,2025-06-30
23,activity_level.csv,1,44536,"timestamp, level",78,0,44536,0.0,2025-03-18,2025-06-30
23,steps.csv,1,18029,"timestamp, steps",76,0,18029,0.0,2025-03-18,2025-06-30
23,hrv.csv,1,3783,"timestamp, rmssd, coverage, low_frequency, high_frequency",43,0,15132,0.0,2025-05-16,2025-06-30
23,oxygen.csv,1,23986,"timestamp, value",68,0,23986,0.0,2025-03-19,2025-06-30
23,stress.csv,1,47,"DATE, UPDATED_AT, STRESS_SCORE, CALCULATION_FAILED",47,0,94,0.0,2025-03-19,2025-06-30
24,daily_questions.csv,1,108,"timeStampScheduled, timeStampSent, timeStampStart, timeStampStop, originalTimeStampSent, timeZoneOffset, deltaUTC, stress, anxiety",108,0,216,0.0,2025-03-19,2025-07-04
24,sleep.csv,1,103,"timestamp, overall_score, deep_sleep_in_minutes",102,0,206,0.0,2025-03-14,2025-07-01
24,activity_level.csv,1,95232,"timestamp, level",111,0,95232,0.0,2025-03-13,2025-07-01
24,steps.csv,1,38829,"timestamp, steps",111,0,38829,0.0,2025-03-13,2025-07-01
24,hrv.csv,1,8349,"timestamp, rmssd, coverage, low_frequency, high_frequency",108,0,33396,0.0,2025-03-13,2025-06-29
24,oxygen.csv,1,49083,"timestamp, value",107,0,49083,0.0,2025-03-13,2025-07-01
24,stress.csv,1,103,"DATE, UPDATED_AT, STRESS_SCORE, CALCULATION_FAILED",103,0,206,0.0,2025-03-14,2025-07-01
25,daily_questions.csv,1,7,"timeStampScheduled, timeStampSent, timeStampStart, timeStampStop, originalTimeStampSent, timeZoneOffset, deltaUTC, stress, anxiety",7,0,14,0.0,2025-03-13,2025-05-15
25,sleep.csv,1,38,"timestamp, overall_score, deep_sleep_in_minutes",38,0,76,0.0,2025-03-14,2025-04-28
25,activity_level.csv,1,27234,"timestamp, level",47,0,27234,0.0,2025-03-13,2025-04-28
25,steps.csv,1,11689,"timestamp, steps",47,0,11689,0.0,2025-03-13,2025-04-28
25,hrv.csv,1,3605,"timestamp, rmssd, coverage, low_frequency, high_frequency",42,0,14420,0.0,2025-03-14,2025-04-27
25,oxygen.csv,1,22137,"timestamp, value",45,0,22137,0.0,2025-03-13,2025-04-28
25,stress.csv,1,38,"DATE, UPDATED_AT, STRESS_SCORE, CALCULATION_FAILED",38,0,76,0.0,2025-03-14,2025-04-28
26,daily_questions.csv,1,102,"timeStampScheduled, timeStampSent, timeStampStart, timeStampStop, originalTimeStampSent, timeZoneOffset, deltaUTC, stress, anxiety",102,0,204,0.0,2025-03-06,2025-07-02
26,sleep.csv,1,88,"timestamp, overall_score, deep_sleep_in_minutes",88,0,176,0.0,2025-03-14,2025-06-13
26,activity_level.csv,1,59938,"timestamp, level",94,0,59938,0.0,2025-03-13,2025-06-14
26,steps.csv,1,24453,"timestamp, steps",94,0,24453,0.0,2025-03-13,2025-06-14
26,hrv.csv,1,8274,"timestamp, rmssd, coverage, low_frequency, high_frequency",91,0,33096,0.0,2025-03-13,2025-06-12
